date,link,text
2019-01-09 17:42,https://newyork.craigslist.org/mnh/egr/d/new-york-city-experienced-architect/6791088394.html,Experienced Architect
2019-01-09 17:34,https://newyork.craigslist.org/mnh/egr/d/new-york-city-project-manager-7-years/6791081339.html,Project Manager - 7++ years experience
2019-01-09 17:01,https://newyork.craigslist.org/mnh/egr/d/new-york-city-construction-project/6791052764.html,Construction Project Manager - Harlem
2019-01-09 16:36,https://newyork.craigslist.org/stn/egr/d/staten-island-architectural-draftsman/6791029818.html,Architectural Draftsman
2019-01-09 15:36,https://newyork.craigslist.org/mnh/egr/d/new-york-city-designer-monograph/6790973431.html,Designer - Monograph drawings for publication
2019-01-09 14:45,https://newyork.craigslist.org/mnh/egr/d/new-york-city-senior-project-manager/6790923206.html,Senior Project Manager
2019-01-09 14:42,https://newyork.craigslist.org/mnh/egr/d/new-york-city-creative-design-lead/6790920099.html,Creative design lead opportunity!
2019-01-09 13:28,https://newyork.craigslist.org/que/egr/d/construction-estimator-project-manager/6790840342.html,Construction Estimator/Project Manager
2019-01-09 13:26,https://newyork.craigslist.org/que/egr/d/cad-draftsman-estimator/6790838663.html,CAD Draftsman/Estimator
2019-01-09 12:38,https://newyork.craigslist.org/brk/egr/d/astoria-concrete-laboratory-technician/6790784810.html,Concrete Laboratory Technician
2019-01-09 10:50,https://newyork.craigslist.org/mnh/egr/d/project-architect-design-build-firm/6790669859.html,Project Architect - Design Build Firm
2019-01-09 10:14,https://newyork.craigslist.org/mnh/egr/d/new-york-city-mid-level-to-senior-level/6790637079.html,Mid-Level to Senior Level Project Manager/Architect
2019-01-09 09:45,https://newyork.craigslist.org/que/egr/d/woodside-top-architectural-metal-glass/6790612463.html,Top Architectural Metal  + Glass Company looking for drafter/engineer!
2019-01-09 08:21,https://newyork.craigslist.org/mnh/egr/d/draftsperson-detailer/6790561858.html,Draftsperson Detailer
2019-01-09 08:12,https://newyork.craigslist.org/brk/egr/d/brooklyn-estimator-wanted-asap/6790558342.html,Estimator wanted ASAP
2019-01-09 07:39,https://newyork.craigslist.org/brk/egr/d/brooklyn-cad-drafter-surveyor/6790547451.html,Cad Drafter/ Surveyor
2019-01-08 15:49,https://newyork.craigslist.org/brk/egr/d/brooklyn-knowledge-in-new-york-city/6790155732.html,knowledge in New york city energy code for buildings
2019-01-08 15:07,https://newyork.craigslist.org/brk/egr/d/brooklyn-architect/6790114335.html,ARCHITECT
2019-01-08 14:52,https://newyork.craigslist.org/mnh/egr/d/new-york-city-director-of-special/6790099154.html,Director of Special Inspections (Professional Engineer)
2019-01-08 14:25,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architectural-designer/6790070848.html,Architectural Designer | Commercial
2019-01-08 12:43,https://newyork.craigslist.org/wch/egr/d/brooklyn-certified-mechanic-needed-for/6789958032.html,Certified Mechanic Needed for Vehicle Inspections
2019-01-08 11:58,https://newyork.craigslist.org/mnh/egr/d/new-york-city-mid-level-architect/6789908555.html,Mid Level Architect-Project Management Track
2019-01-08 11:45,https://newyork.craigslist.org/mnh/egr/d/new-york-city-residential-interior/6789894902.html,RESIDENTIAL INTERIOR DESIGNER (HIGH END)
2019-01-08 11:39,https://newyork.craigslist.org/brx/egr/d/katonah-temporary-mid-level-architect/6789888863.html,Temporary Mid Level Architect - Commercial Building Renovation
2019-01-08 11:25,https://newyork.craigslist.org/fct/egr/d/mamaroneck-kitchen-bath-designer/6789874019.html,KITCHEN/BATH DESIGNER
2019-01-08 11:24,https://newyork.craigslist.org/wch/egr/d/mamaroneck-kitchen-bath-designer/6789873363.html,KITCHEN/BATH DESIGNER
2019-01-08 11:24,https://newyork.craigslist.org/que/egr/d/jamaica-nyc-dob-expediter-seeks-class-1/6789872870.html,NYC DOB Expediter Seeks Class 1 or 2 Filing Rep (All Boroughs)
2019-01-08 11:21,https://newyork.craigslist.org/fct/egr/d/mamaroneck-architect-designer/6789870590.html,ARCHITECT / DESIGNER
2019-01-08 11:20,https://newyork.craigslist.org/wch/egr/d/mamaroneck-architect-designer/6789869588.html,ARCHITECT / DESIGNER
2019-01-08 11:14,https://newyork.craigslist.org/fct/egr/d/mamaroneck-interior-designer/6789863632.html,INTERIOR DESIGNER
2019-01-08 11:11,https://newyork.craigslist.org/brk/egr/d/brooklyn-estimator-drywall-ceilings/6789860527.html,ESTIMATOR - DRYWALL & CEILINGS
2019-01-08 11:10,https://newyork.craigslist.org/wch/egr/d/mamaroneck-interior-designer/6789859519.html,INTERIOR DESIGNER
2019-01-08 10:31,https://newyork.craigslist.org/brk/egr/d/brooklyn-time-out-market-is-looking-for/6789822419.html,Time Out Market is looking for a Maintenance/Facilities Engineer
2019-01-08 09:50,https://newyork.craigslist.org/brx/egr/d/bronx-estimator/6789787254.html,Estimator
2019-01-08 08:54,https://newyork.craigslist.org/mnh/egr/d/new-york-city-expeditor-project-manager/6789748427.html,Expeditor/Project Manager (DOB Class 1 or 2)
2019-01-08 07:43,https://newyork.craigslist.org/que/egr/d/jamaica-hvac-drafter/6789719470.html,HVAC DRAFTER
2019-01-07 22:28,https://newyork.craigslist.org/mnh/egr/d/architect-intermediate/6789608167.html,"Architect, Intermediate"
2019-01-07 18:12,https://newyork.craigslist.org/mnh/egr/d/new-york-city-construction-manager/6789447409.html,Construction Manager-Superintendent-High End Residential
2019-01-07 18:12,https://newyork.craigslist.org/brx/egr/d/bronx-experienced-architect/6789447258.html,Experienced Architect/Draftman(Part-time)
2019-01-07 16:57,https://newyork.craigslist.org/lgi/egr/d/melville-architectural-drafter/6789380951.html,Architectural Drafter
2019-01-07 16:41,https://newyork.craigslist.org/brk/egr/d/brooklyn-architectural-designer-project/6789366349.html,Architectural Designer/Project Manager
2019-01-07 15:34,https://newyork.craigslist.org/mnh/egr/d/new-york-city-project-architect-new/6789298515.html,"Project Architect, New York City"
2019-01-07 15:12,https://newyork.craigslist.org/mnh/egr/d/new-york-city-junior-construction/6789274740.html,Junior Construction Estimator
2019-01-07 14:06,https://newyork.craigslist.org/fct/egr/d/norwalk-autocad-drafter-designer/6789202094.html,AutoCAD Drafter / Designer / Assistant to Job Supervisor
2019-01-07 13:05,https://newyork.craigslist.org/mnh/egr/d/new-york-city-electrical-estimator/6789133622.html,Electrical Estimator
2019-01-07 12:57,https://newyork.craigslist.org/que/egr/d/astoria-photo-realistic-renderings/6789124120.html,◄◄ PHOTO-REALISTIC RENDERINGS CREATED FROM YOUR SKETCHUP MODELS
2019-01-07 12:12,https://newyork.craigslist.org/mnh/egr/d/new-york-city-hvac-engineer-project/6789072473.html,HVAC Engineer Project Engineer/Manager
2019-01-07 11:16,https://newyork.craigslist.org/fct/egr/d/landscape-designer-architect-landscape/6789011327.html,Landscape Designer/Architect - Landscape sales
2019-01-07 11:04,https://newyork.craigslist.org/mnh/egr/d/architects/6788999132.html,Architects
2019-01-07 10:55,https://newyork.craigslist.org/mnh/egr/d/new-york-city-project-designer-wanted/6788989181.html,PROJECT DESIGNER WANTED
2019-01-07 10:53,https://newyork.craigslist.org/mnh/egr/d/junior-interior-design-with-autocad-for/6788987493.html,Junior Interior Design - with autocad for interior design/build
2019-01-07 10:39,https://newyork.craigslist.org/que/egr/d/rockaway-park-draftsman/6788973440.html,Draftsman
2019-01-07 10:13,https://newyork.craigslist.org/brx/egr/d/bronx-coordination-specialist/6788949300.html,Coordination Specialist
2019-01-06 13:49,https://newyork.craigslist.org/mnh/egr/d/new-york-city-contract-architect/6788402512.html,Contract Architect Position
2019-01-06 13:39,https://newyork.craigslist.org/brk/egr/d/brooklyn-project-manager/6788394308.html,Project Manager
2019-01-05 12:12,https://newyork.craigslist.org/mnh/egr/d/new-york-city-administrator-researcher/6787615262.html,Administrator/Researcher
2019-01-04 18:02,https://newyork.craigslist.org/mnh/egr/d/new-york-city-product-design-internship/6787156392.html,Product Design Internship with Experimental Furniture Firm
2019-01-04 17:17,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-junior/6787116215.html,Facade / Building Envelope Junior Architect
2019-01-04 17:14,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-project/6787113827.html,Facade / Building Envelope Project Architect
2019-01-04 17:13,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-structural/6787112674.html,Facade / Building Envelope Structural Project Engineer
2019-01-04 17:10,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-architect/6787110168.html,Facade / Building Envelope Architect
2019-01-04 17:09,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-structural/6787109188.html,Facade / Building Envelope Structural Engineer
2019-01-04 17:03,https://newyork.craigslist.org/mnh/egr/d/new-york-city-electrical-estimator/6787102807.html,Electrical Estimator
2019-01-04 17:01,https://newyork.craigslist.org/mnh/egr/d/new-york-city-electrical-estimator/6787101462.html,Electrical Estimator
2019-01-04 14:14,https://newyork.craigslist.org/mnh/egr/d/new-york-city-electrical-engineer/6786930441.html,Electrical Engineer
2019-01-04 13:05,https://newyork.craigslist.org/mnh/egr/d/new-york-city-real-estate-development/6786851617.html,Real Estate Development Associate
2019-01-04 12:47,https://newyork.craigslist.org/mnh/egr/d/princeton-architects/6786830341.html,Architects
2019-01-04 12:08,https://newyork.craigslist.org/mnh/egr/d/new-york-city-intermediate-designer-ffe/6786785411.html,Intermediate Designer - FF&E
2019-01-04 11:41,https://newyork.craigslist.org/mnh/egr/d/gainesville-revit-residential-designer/6786754469.html,Revit Residential Designer/Decorator
2019-01-04 08:27,https://newyork.craigslist.org/brk/egr/d/brooklyn-architectural-draftsperson/6786593134.html,Architectural Draftsperson/Project architect
2019-01-04 07:55,https://newyork.craigslist.org/brk/egr/d/brooklyn-draftsperson/6786581011.html,DRAFTSPERSON
2019-01-03 20:20,https://newyork.craigslist.org/mnh/egr/d/new-york-city-showroom-design-for/6786398880.html,SHOWROOM DESIGN FOR  INTERIOR DECORATOR
2019-01-03 17:58,https://newyork.craigslist.org/mnh/egr/d/new-york-city-technical-architect/6786296563.html,Technical Architect - Intermediate
2019-01-03 16:51,https://newyork.craigslist.org/mnh/egr/d/registered-architect/6786237956.html,Registered Architect
2019-01-03 16:50,https://newyork.craigslist.org/mnh/egr/d/intermediate-architect/6786236931.html,Intermediate Architect
2019-01-03 16:09,https://newyork.craigslist.org/mnh/egr/d/new-york-city-interior-designer/6786198036.html,Interior Designer
2019-01-03 15:32,https://newyork.craigslist.org/mnh/egr/d/new-york-city-electrical-and-electronic/6786162156.html,Electrical and Electronic Engineers
2019-01-03 15:32,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architectural-spring/6786161879.html,Architectural Spring Internship - Student or Recent Graduate
2019-01-03 15:06,https://newyork.craigslist.org/wch/egr/d/harrison-academic-tutors-starting-at-75/6786135124.html,Academic Tutors ( Starting at $75 per hour )
2019-01-03 15:04,https://newyork.craigslist.org/que/egr/d/richmond-hill-rf-project-engineer/6786133744.html,RF Project Engineer
2019-01-03 14:53,https://newyork.craigslist.org/lgi/egr/d/hicksville-architectural-graduate-or/6786122166.html,Architectural Graduate or Intern
2019-01-03 13:30,https://newyork.craigslist.org/wch/egr/d/hastings-on-hudson-architecture/6786031513.html,Architecture
2019-01-03 12:37,https://newyork.craigslist.org/brk/egr/d/brooklyn-structural-engineer/6785971877.html,Structural Engineer
2019-01-03 12:28,https://newyork.craigslist.org/brk/egr/d/brooklyn-autocad-draftsperson/6785961380.html,AutoCAD Draftsperson
2019-01-03 11:26,https://newyork.craigslist.org/que/egr/d/queens-village-project-manager-of-hvac/6785894142.html,Project Manager of HVAC Construction
2019-01-03 11:20,https://newyork.craigslist.org/que/egr/d/queens-village-mechanical-engineer/6785888115.html,Mechanical Engineer / Assistant PM
2019-01-03 09:08,https://newyork.craigslist.org/brk/egr/d/brooklyn-draftsman/6785776980.html,DRAFTSMAN
2019-01-03 07:37,https://newyork.craigslist.org/brk/egr/d/brooklyn-architect-or-senior/6785740677.html,Architect or Senior Draftsperson
2019-01-03 07:35,https://newyork.craigslist.org/brk/egr/d/architectural-draftsperson/6785740167.html,Architectural Draftsperson
2019-01-02 22:34,https://newyork.craigslist.org/brk/egr/d/brooklyn-construction-project-manager/6785635936.html,Construction Project Manager
2019-01-02 19:12,https://newyork.craigslist.org/brk/egr/d/nys-licensed-architect-or-pe/6785520107.html,NYS Licensed Architect or PE
2019-01-02 15:09,https://newyork.craigslist.org/brk/egr/d/brooklyn-mechanical-estimator/6785300630.html,Mechanical Estimator
2019-01-02 12:37,https://newyork.craigslist.org/mnh/egr/d/new-york-city-interior-designer/6785128152.html,"Interior Designer Available for Architects, Designers and Developers"
2019-01-02 11:30,https://newyork.craigslist.org/mnh/egr/d/new-york-city-junior-architect/6785053382.html,Junior Architect
2019-01-02 10:25,https://newyork.craigslist.org/mnh/egr/d/plumbing-fire-protection-engineers-and/6784989247.html,Plumbing -Fire Protection Engineers and Designers-REVIT
2019-01-02 10:19,https://newyork.craigslist.org/mnh/egr/d/mid-level-electrical-engineers-2-years/6784983507.html,Mid Level Electrical Engineers (2+ Years-with REVIT)
2019-01-02 10:09,https://newyork.craigslist.org/mnh/egr/d/new-york-city-senior-mep-design/6784974935.html,Senior MEP Design Engineers - Mech/Elec/Plumb-FP
2019-01-02 10:05,https://newyork.craigslist.org/lgi/egr/d/valley-stream-engineer-estimator/6784971993.html,Engineer/ Estimator/
2019-01-02 10:01,https://newyork.craigslist.org/mnh/egr/d/sr-project-pm-mep-engineers-mech-elec/6784968625.html,Sr. Project/PM MEP Engineers -MECH/ELEC/PL-FP
2019-01-01 22:53,https://newyork.craigslist.org/brx/egr/d/bronx-construction-estimator/6784804356.html,Construction Estimator
2019-01-01 16:59,https://newyork.craigslist.org/brk/egr/d/professional-wanted/6784620002.html,Professional wanted
2018-12-31 21:06,https://newyork.craigslist.org/brk/egr/d/brooklyn-electronics-geek-wanted-for/6784229480.html,"Electronics Geek Wanted for Super-Relaxed, Easy AF Job"
2018-12-31 09:55,https://newyork.craigslist.org/que/egr/d/change-your-career-earn-up-to-120k/6783789407.html,CHANGE YOUR CAREER: EARN up to $120K+ CLOSING IN-HOME SALES
